STATE REGION,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,5838.06,6369.27,8939.58,6824.16,9455.82,7920.22
CVG,5978.16,0,5534.79,8920.22,6208.56,8931.26,7546.3
DTW,6487.02,5502.06,0,9068.06,6158.34,8941.22,7564.54
LAX,9403.56,8742.78,9225.9,0,8189.82,6925.98,6131.18
MSP,7219.62,6242.94,6294.24,8464.38,0,7834,6944.38
SEA,10300.5,8972.94,9332.04,7037.02,7765.38,0,6327.26
SLC,8789.76,7805.34,8078.49,6303.1,7070.4,6462.84,0
AL,5482.31,5942.46,6484.04,8666.53,6768.85,9337.96,7794.93
AR-LA,6177.74,6245.63,6769.31,7963.84,6485.9,8817.38,7257.5
AR-OK,6696.9,6418.5,6842.33,7543.02,6260.81,8379.73,6874.84
CT-RI-MA,7218.77,6528.3,6446.91,10344.56,7333.3,10145.19,8665.67
DE-NJ-PA,6678.68,6061.5,6092.21,9880.12,6952.14,9754.95,8308.12
GA,5442.72,6109.47,6635.64,9194.58,7125.66,9764.03,8203.78
IA-IL,6760.26,5924.16,5989.09,8226.78,5468.63,8085.08,6836.84
ID,9118.04,8084.22,8381.9,6555.13,7187.04,6154.74,5431.68
ID-MT,9560.64,8317.18,8596.38,7196.01,7114.14,5787.22,5953.34
IL,6246.78,5623.02,5931.9,8384.01,5870.52,8494.13,7085.74
IL-IN-MI,6511.44,5549.66,5416.45,8781.18,5882.67,8658.74,7316.02
IN,6090.62,5339.1,5668.01,8673.47,6056.6,8741.69,7349.31
KS-MO,6803.82,6187.5,6565.08,7784.67,5882.94,8092.3,6643.72
KY-OH,6003.9,5260.62,5590.74,8888.54,6278.91,9014.02,7563.24
LA,6091.42,6477.47,7066.5,8288.03,6939.5,9237.7,7595.24
MD-VA-PA,6415.34,5955.32,6020.84,9791.07,6889.28,9690.21,8248.84
MI,6760.7,5737.26,5355.06,9150.78,6080.04,8793.66,7634.97
MN,7565.84,6479.1,6551.49,8516.93,5386.97,7746.02,7014.3
MO-AR,6245.46,5830.92,6237.51,8168.26,5994.32,8524.15,7068.26
MS,5747.35,6099.42,6654.23,8438.48,6695.95,9218.91,7638.8
MT,9005.58,7873.38,8111.43,7095.69,6685.92,6185.62,5752.95
NC,5812.43,5947.76,6322.06,9528.65,7055.66,9847.91,8309.19
NCA,9877.18,8998.48,9402.68,5660.7,8264.02,6409.06,6183.77
ND,8039.84,6864.12,6970.88,8105.78,5675.99,7233.5,6655.2
NFL,5733.9,6376.27,6930.25,9200.54,7308.69,9923.49,8328.69
NH-VT-ME,7433.46,6672.6,6495.54,10451.42,7431.66,10245.98,8758.12
NM-CO,7974.99,7258.08,7635.4,6703.28,6797.23,7242.63,5794.31
NNY,6920.64,6022.86,5863.93,9771.05,6805.41,9604.51,8170.8
NV-AZ-TX,8555.38,8098.29,8594.32,5918.76,7645.7,7393.89,6055.18
NV-UT,9139.03,8176.96,8505.25,5984.89,7490.3,6574.72,5470.68
OH,6488.01,5502.9,5380.61,9246.26,6322.37,9109.3,7717.68
OR,10174.77,8981.76,9358.58,6542.9,8001.09,5540.71,6178.3
PA,6566.62,5755.4,5715.59,9538.68,6619.07,9413.32,7995.61
SC,5574.74,5982.12,6425.09,9372.1,7090.65,9832.23,8266.02
SCA,9335.84,8660.63,9184.18,139.66,8153.53,7018.94,6096.52
SD-NE,7379.67,6532.74,6638.89,7780.62,5664.51,7545.44,6424.54
SFL,6214.18,6811.62,7422.8,9760.27,7762.63,10417.29,8801.52
SNY,6859.66,6208,6196.52,10030.43,7044.48,9849.24,8394.76
TN,5556.42,5601.46,6111.55,8735.71,6529.59,9178.32,7667.14
TX,6742.66,6824.97,7426.6,7650.48,6890.58,8707.16,7114.28
VA,6205.46,6035.63,6284.36,9805.5,7121.92,9928.59,8413.61
WA,10090.62,8804.38,9148.43,7088.65,7603.38,5315.12,6245.69
WI,6868.37,5872.33,5890.54,8629.12,5450.4,8203.85,7165.69
WI-MI,7078.64,6061.84,5937.76,8918.11,5556.02,8283.86,7411.63
WV-VA,6072.8,5604.2,5885.05,9386.27,6714.97,9511.93,8018.11
WY,8454.35,7507.64,7730.42,6909.95,6563.99,6688.6,5626.84