ENGINE_SUBTYPE,TOTAL_NUM_ENGINES,TOTAL_NUM_WORKING,NUM_BROKEN_ATL,NUM_BROKEN_MSP,NUM_WORKING_ATL,NUM_WORKING_CVG,NUM_WORKING_DTW,NUM_WORKING_LAX,NUM_WORKING_MSP,NUM_WORKING_SEA,NUM_WORKING_SLC
BR700-715C1-30,2,2,0,0,2,0,0,0,0,0,0
CF6-80C2B8F,1,1,0,0,1,0,0,0,0,0,0
CFM56-5A,5,5,0,0,0,0,1,0,2,0,2
CFM56-5B3-3,1,1,0,0,0,0,1,0,0,0,0
CFM56-7B26,3,3,0,0,1,1,0,1,0,0,0
CFM56-7B27E-B1F,1,1,0,0,1,0,0,0,0,0,0
PW2000-2037,3,3,0,0,2,0,0,0,1,0,0
PW2000-2040,1,1,0,0,1,0,0,0,0,0,0
TRENT8-892-17,1,1,0,0,0,0,0,0,1,0,0
V2500-D5,4,4,0,0,3,0,0,0,1,0,0